#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
     253   13.667   -1.668   -3.841   -5.476    4.441   -3.110    0.443   -2.406   -0.836   -1.389
     254   16.090    0.113   -7.889    0.187    4.481   -2.455    0.674    0.450    1.084   -0.310
     255   15.423    0.234    1.167    4.159    2.330   -5.452   -0.525    3.495    0.338    2.973
     256   10.454   -1.209    2.516    1.040    2.121   -6.311    6.593    5.474   -0.417    0.671
     257   14.972   -2.578    0.552    3.722   -0.211  -10.877    4.737   -0.025    0.131    2.374
     258    9.431    0.656   -3.851   -7.364    1.627   -2.323    0.804   -3.997   -4.679    4.495
     259   13.545    0.356   -4.226   -7.192    4.557   -0.252    3.956   -1.960   -3.018   -0.033
     260   11.855   -0.529   -0.279   -1.271   -0.674   -3.013    1.730    0.684   -1.954   -3.620
     261   13.394   -1.306   -2.017   -2.209    1.432   -5.757    1.519   -1.806   -0.429    4.775
     262   13.979   -0.805   -8.647   -3.271    3.509    1.421    4.503    0.244    2.963    0.299
     263    9.429    6.024   -4.277   -8.357    1.925    4.415   -2.849    1.734   -1.388    2.019
     264   15.117    5.083    4.769    0.847   -1.904   -1.384    0.527    5.664   -1.610   -0.242
     265   11.600    0.690   -2.155   -5.236    1.479   -3.111   -0.812    2.688   -0.971   -0.813
     266   14.797   -1.230   -2.225    0.356    7.475   -2.908   -0.593    1.110   -1.274    2.693
     267   12.660   -1.254    0.891    0.933    1.690   -0.287   -5.205   -0.222   -1.410   -0.370
     268   11.979    5.368    3.693   -5.301    4.035    2.436    1.610    1.933   -1.998    1.258
     269   12.941    3.677    2.586   -3.790    3.904   -1.723   -7.070    1.195   -1.363   -0.916
     270   10.763    6.612    1.132   -6.836    1.979   -3.654   -4.720   -1.418   -0.557   -0.219
     271   12.862    2.114   -0.659   -8.177    1.395   -2.789    0.562   -3.072   -0.936    1.848
     272    9.957   -0.319   -4.725   -2.455    1.196   -5.940   -2.631    2.371    0.305   -0.048
     273    7.768    5.012   -2.844   -5.585    2.084   -5.616    1.757   -1.490    2.338    1.179
     274    9.489    4.729   -2.140   -5.911    6.299   -0.371   -0.956   -0.007   -1.248    3.756
     275    6.797    3.548    4.432   -4.361    4.254   -1.827   -5.031    2.313    1.249    4.205
     276    9.291    3.327   -0.716   -7.826    3.904   -2.465    3.203    2.015    2.044    0.292
     277   10.337    2.053    4.240   -2.053    2.471   -4.776   -1.111    1.801    1.169    3.503
     278    8.671    2.785   -1.907   -6.982    5.630   -1.704    1.009    0.088   -0.140    2.155
     279   10.680    2.510   -3.544   -1.606    3.383   -3.332    0.873    3.198    0.499   -0.759
     280    8.442    3.829   -7.381   -5.645    5.202    1.525   -1.657   -1.278   -2.189   -3.710
     281   10.842   -1.920   -2.704    0.261    3.668   -4.087    4.437    2.319    3.658    1.744
     282   11.330    3.020   -1.397    1.551    0.566   -4.380    3.392    5.610    0.875   -2.261
     283   10.836    2.523   -2.983    0.942    2.984   -3.265    3.150    2.601    1.407    0.429
     284    7.386    1.553   -8.710   -6.666    4.967    2.735   -2.414   -1.097    0.060   -0.608
     285    8.291    0.381   -4.510   -3.447    2.750   -0.482   -3.180    0.104    2.635   -0.524
